name,county,type,contact_person,phone,email,sub_county,nearest-landmark,lat,lon
Kaputir Dispensary,Turkana,Hospital,,,,Turkana South,Kalemungorok,2.10933,35.475
Kapweria Dispensary,Narok,Hospital,,,,Trans Mara East,Kilgoris,-0.93973,35.09665
Kapyego Health Centre,Elgeyo Marakwet,Hospital,,,,Marakwet East,Kapsowar,1.14584,35.47924
Kapyemit Dispensary,Uasin Gishu,Hospital,,,,Eldoret West,Eldoret,0.58449,35.22473
Karaba Dispensary (Laikipia West),Laikipia,Hospital,,,,Laikipia West,Muhotetu,0.32703,36.37916
Karaba Dispensary (Mbeere),Embu,Hospital,,,,Mbeere South,Karaba,-0.74977,37.42381
Karaba Health Centre (Nyeri South),Nyeri,Hospital,,,,Mukurweini,Karaba,-0.3763,37.06404
Karaba Wango Dispensary,Embu,Hospital,,,,Mbeere South,Karaba,-0.77197,37.66172
Karagita Dispensary,Nakuru,Hospital,,,,Naivasha,Karagita Shopping Centre,-0.77667,36.43134
Karaha Dispensary,Murang'a,Hospital,,,,Kiharu,Muranga,-0.750075,37.1211
Karai Medical Clinic,Nyandarua,Hospital,,,,Nyandarua North,Karai gwa kungu,0.01416,36.49169
Karaini (ACK) Dispensary,Kirinyaga,Hospital,,,,Kirinyaga Central,Karaini,-0.4559,37.24644
Karama Dispensary,Meru,Hospital,,,,Tigania East,Kianjai,0.24174,37.82739
Karandi Health Clinic,Nyeri,Hospital,,,,Mathira East,Ruguru,-0.253684,37.1659
Karandini Dispensary,Tharaka Nithi,Hospital,,,,Meru South,Chuka Town/ Kibugua,-0.35809,37.62677
Karandini Medical Clinic,Tharaka Nithi,Hospital,,,,Meru South,Karandini,-0.35826,37.62725
Karangaita Socfinaf Dispensary,Murang'a,Hospital,,,,Gatanga, ,-0.962412,36.9696
Karangatha Health Centre,Nyandarua,Hospital,,,,Kinangop,Karangatha,-0.77085,36.64669
Karangi Dispensary,Murang'a,Hospital,,,,Gatanga,Karangi,-0.83099,36.79854
Karangia Health Clinic,Nyeri,Hospital,,,,Tetu,Karangia,-0.492434,36.906
Karanja Road Community Clinic,Nairobi,Hospital,,,,Kibra, ,-1.31126,36.7822
Karanjee Medical Clinic,Kiambu,Hospital,,,,Limuru,Limuru,-1.12119,36.64559
Karare Dispensary,Marsabit,Hospital,,,,Marsabit,Marsabit,2.21177,37.8937
Kararia Dispensary,Elgeyo Marakwet,Hospital,,,,Marakwet East,Kapsowar,1.12335,35.49548
Karathe Medical Clinic,Murang'a,Hospital,,,,Muranga South,Sabasaba,-0.87547,37.14252
Karati Dispensary,Nakuru,Hospital,,,,Naivasha,Karati Shopping centre,-0.69032,36.47886
Karatina Catholic Dispensary,Nyeri,Hospital,,,,Mathira East,Karatina,-0.48151,37.1221
Karatina District Hospital,Nyeri,Hospital,,,,Mathira East,Karatina,-0.47585,37.1301
Karatina Maternity & Nursing Home,Kirinyaga,Hospital,,,,Kirinyaga Central,Kerugoya,-0.50157,37.2797
Karatina Medical Services,Nyeri,Hospital,,,,Mathira East,Karatina,-0.48095,37.12475
Karatina Model Health Centre,Kiambu,Hospital,,,,Lari,Nyanduma Shopping Center,-0.99575,36.75241
Karatina Nursing Home,Nyeri,Hospital,,,,Mathira East,Karatina,-0.45282,37.12997
Karatina University Dispensary,Nyeri,Hospital,,,,Mathira East,Kanjuri,-0.38798,37.14306
Karatu Health Centre,Kiambu,Hospital,,,,Gatundu,Gatundutown,-0.94502,36.82669
Karau Health Centre,Embu,Hospital,,,,Manyatta,Mbuvori,-0.38344,37.46619
Karbururi Dispensary,Marsabit,Hospital,,,,Sololo,Sololo,3.58279,38.60546
Karda Dispensary,Narok,Hospital,,,,Trans Mara West - Dikirr,Kilgoris,-1.02253,34.62115
Karebur Dispensary,Turkana,Hospital,,,,Turkana North,Loktaung,4.998,35.7
Karemeno Dispensary,Nyeri,Hospital,,,,Kieni West,Ruirii,-0.14132,36.77169
Karen Health Centre,Nairobi,Hospital,,,,Langata,Karen Shopping center,-1.32092,36.70595
Karen Hospital (Karatina),Nyeri,Hospital,,,,Mathira East,Karatina,-0.48159,37.12586
Karen Hospital Annex,Nyeri,Hospital,,,,Nyeri Central,Nyeri Town,-0.42224,36.9487
Karen Roses Dispensary,Baringo,Hospital,,,,Koibatek,Eldama Ravine,0.06723,35.7458
Karengata Community Medical Centre,Nairobi,Hospital,,,,Langata, ,-1.34361,36.7573
Karerema Dispensary,Embu,Hospital,,,,Mbeere North,Karerema,-0.51216,37.79991
Kargeno VCT,Homa Bay,Hospital,,,,Rachuonyo South,Kendu Bay Town,-0.3635,34.64732
Kargi Dispensary,Marsabit,Hospital,,,,Loyangalani,Marsabit,2.49874,37.4018
Kargi Health Centre,Marsabit,Hospital,,,,Loyangalani,Marsabit,2.50985,37.57297
KARI,Kisii,Hospital,,,,Kisii Central,Kisii,-0.40337,34.47308
Kari Dispensary (Kiboko),Makueni,Hospital,,,,Makindu,Kiboko,-2.25029,37.72685
Kari Health Clinic,Nairobi,Hospital,,,,Westlands,Kikuyu,-1.217199,36.647534
Karia Dispensary,Meru,Hospital,,,,Imenti South,Keria Mkt,-0.19953,37.6434
Karia Health Centre,Kiambu,Hospital,,,,Githunguri,Githunguri,-1.10343,36.81935
Karia Health Centre (Nyeri South),Nyeri,Hospital,,,,Nyeri Central,Giakanja,-0.46888,36.99385
Kariakomo Dispensary,Tharaka Nithi,Hospital,,,,Maara,Chogoria,-0.23938,37.67469
Karibaribi Dispensary,Kiambu,Hospital,,,,Thika West,Thika  Town,-1.02221,37.01251
Kariko Dispensary,Kirinyaga,Hospital,,,,Kirinyaga Central,Karaini,-0.45475,37.24698
Kariko Dispensary (Nyeri South),Nyeri,Hospital,,,,Nyeri South,Kariko,-0.57691,36.88065
Karima Catholic Dispensary,Nyeri,Hospital,,,,Nyeri South,Othaya Town,-0.52123,36.98231
Karima Dispensary,Bungoma,Hospital,,,,Bungoma North,Naitiri,0.73638,34.8396
Karima Dispensary (Nyeri South),Nyeri,Hospital,,,,Nyeri South,Giathenge,-0.51938,36.97994
Karimaini Community Dispensary,Kirinyaga,Hospital,,,,Kirinyaga West, Riakiania,-0.51988,37.21751
Karimba Dispensary,Tharaka Nithi,Hospital,,,,Maara,Chuka,-0.3013,37.69087
Karimboni Dispensary,Kilifi,Hospital,,,,Magarini,Garashi,-3.09586,39.99351
Karimonga Dispensary,Meru,Hospital,,,,Meru Central,Kaguma Market,-0.01787,37.72891
Karindundu dispensary,Nyeri,Hospital,,,,Mathira East,Karatina,-0.29422,37.07737
Karinga Mission,Kiambu,Hospital,,,,Gatundu,Gatundutown,-0.95299,36.83385
Kariobangi EDARP,Nairobi,Hospital,,,,Kasarani,Lite industries behind faulu,-1.259226,36.87954
Kariobangi Health Centre,Nairobi,Hospital,,,,Kasarani,Nairobi,-1.25174,36.87978
Kariobangi South Clinic,Nairobi,Hospital,,,,Embakasi West,Kariobangi South Market,-1.26826,36.88294
Kariokor Clinic,Nairobi,Hospital,,,,Starehe,Nairobi,-1.2789,36.83661
Karirana Medical Clinic,Kiambu,Hospital,,,,Limuru,Limuru Town,-1.08803,36.69566
Kariti Dispensary,Murang'a,Hospital,,,,Kandara,Kagunduini,-0.86837,37.01783
Kariua Dispensary,Murang'a,Hospital,,,,Kandara,Kariua,-0.83379,36.97651
Kariumba Medical Clinic,Nyeri,Hospital,,,,Nyeri Central,Nyeri Town,-0.42899,36.9103
Karma Dispensary,Nairobi,Hospital,,,,Kasarani,Nairobi,-1.25236,36.8823
Karuguaru Dispensary,Tharaka Nithi,Hospital,,,,Tharaka North,Gatunga,-0.15297,38.04147
Karumandi  Health Centre,Kirinyaga,Hospital,,,,Kirinyaga East,Karumande,-0.44764,37.34951
Karuna Dispensary,Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.75592,35.32141
Karundu Dispensary,Nyeri,Hospital,,,,Mukurweini,Karundu,-0.34471,37.05636
Karundu Medical Clinic,Nyeri,Hospital,,,,Mukurweini, ,-0.57505,37.09293
Karunga Dispensary,Nakuru,Hospital,,,,Gilgil,Gilgil,-0.40633,36.35059
Karungu Sub-District Hospital,Migori,Hospital,,,,Nyatike,Sori,-0.79535,34.1796
Karuoth Dispensary,Siaya,Hospital,,,,Siaya,Ndere Market,0.10758,34.28015
Karura (SDA) Dispensary,Kiambu,Hospital,,,,Kiambu,Nairobi,-1.19475,36.74285
Karura Dispensary,Kitui,Hospital,,,,Mwingi Central,karura,-0.97474,38.12475
Karura Health Centre (Kiambu Rd),Nairobi,Hospital,,,,Westlands,Nairobi,-1.256241,36.842936
Karurah Dispensary,Embu,Hospital,,,,Mbeere South,Mutuombare,-0.51568,37.46342
Karure Medical Clinic,Kiambu,Hospital,,,,Gatundu North,Gatundutown,-0.97273,36.92911
Karuri Health Centre,Kiambu,Hospital,,,,Kiambu,Karuri Market,-1.17594,36.7523
Karurina Dispensary,Embu,Hospital,,,,Manyatta,Karurina Market,-0.53097,37.45449
Karurumo Rhtc,Embu,Hospital,,,,Embu East,Karurumo,-0.46839,37.65303
Karuturi Hospital,Nakuru,Hospital,,,,Naivasha,DCK centre,-0.83675,36.35531
Kasaala Health Centre,Kitui,Hospital,,,,Mutomo,Kasaala,-2.13709,38.26674
Kasafari Dispensary (CDF),Embu,Hospital,,,,Embu East,Karurumo,-0.49111,37.69747
Kasaka,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.7171,35.77766
Kasangu Dispensary,Kitui,Hospital,,,,Mutitu,kasangu Market,-1.64039,38.4355
Kasang'u Dispensary,Kitui,Hospital,,,,Mutomo,Kasang'u,-1.64047,38.4055
Kasarani Claycity Medical Centre (Kasarani),Nairobi,Hospital,,,,Kasarani,Kasarani,-1.21828,36.30289
Kasarani Dispensary,Nakuru,Hospital,,,,Naivasha,Kasaran Centre in Naivasha,-0.71145,36.29535
Kasarani Health Centre,Nairobi,Hospital,,,,Kasarani,Nairobi,-1.21821,36.90139
Kasarani Maternity,Nairobi,Hospital,,,,Kasarani,Hunters,-1.22429,36.9046
Kasarani Medical Clinic,Nakuru,Hospital,,,,Naivasha,Naivasha,-0.668697,36.3067
Kasarani Medical Clinic Wote,Makueni,Hospital,,,,Makueni,Wote Town,-1.77848,37.62951
Kasarani Medical Health Centre,Nairobi,Hospital,,,,Kasarani,Nairobi,-1.22429,36.9046
Kasarani VCT,Nakuru,Hospital,,,,Nakuru,Near Afraha stadium,-0.29534,36.06775
Kasayani Dispensary,Makueni,Hospital,,,,Makindu,Kasayani,-2.33019,38.01241
Kasei Dispensary,West Pokot,Hospital,,,,North Pokot,Makutano Town,2.00882,35.20417
Kasemeini Dispensary,Makueni,Hospital,,,,Makindu,Kasemeini Market,-2.36111,38.08776
Kaseve Medical Clinic,Machakos,Hospital,,,,Machakos,Kaseve,-1.52214,37.3365
Kasevi Dispensary,Kitui,Hospital,,,,Mwingi West, ,-1.10453,38.00587
Kasewe Dispensary,Homa Bay,Hospital,,,,Rachuonyo South,Near Sori centre,-0.444,34.444
KASH DICE,Kisumu,Hospital,,,,Kisumu East,Kondele,-0.0981,34.77785
Kasha Dispensary,Garissa,Hospital,,,,Garissa,Balambala,0.04445,39.06323
Kasiela Dispensary,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.43092,36.2161
Kasigau Rdch,Taita Taveta,Hospital,,,,Voi,Rukanga Market,-3.81351,38.63989
Kasikeu Catholic Health Centre,Makueni,Hospital,,,,Mukaa,Kasikeu Mkt,-1.95045,37.38488
Kasikeu Dispensary ,Makueni,Hospital,,,,Mukaa,Kasikeu Mkt,-1.94705,37.38233
Kasilangwa dispensary,Baringo,Hospital,,,,East Pokot, ,0.73786,36.32407
Kasilili Medical Clinic,Kitui,Hospital,,,,Mutitu,Mutito,-1.22538,38.18897
Kasimba Medical Clinic,Makueni,Hospital,,,,Kilungu,Nunguni,-1.79439,37.36226
Kasisit Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.63689,35.8271
Kasitet Dispensary,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.41556,35.6961
Kasitet Dispensary (Alale),West Pokot,Hospital,,,,North Pokot,Amakuriat,2.19743,34.95747
Kasoiyo Dispensary,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.46555,35.75109
Kasok Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.71599,35.80632
Kasolina Medical Clinic,Meru,Hospital,,,,Meru Central,Chaaria Market,-0.00264,37.76118
Kasongo Dispensary,Kisumu,Hospital,,,,Muhoroni,Ombeyi,-0.16046,35.1999
Kasphat Dispensary,Kiambu,Hospital,,,,Kiambu,Kanunga Market,-1.15604,36.77533
Kasuku Health Centre,Nyandarua,Hospital,,,,Nyandarua West,Oljororok,-0.13497,36.37804
Kasunguni Dispensary,Kitui,Hospital,,,,Kitui Central,Zombe,-1.52112,38.24915
Kasuroi Dispensary,Turkana,Hospital,,,,Turkana South,Lokichar,2.45882,35.7585
Kasyala Dispensary,Kitui,Hospital,,,,Kitui Central,Kitui,-1.26191,38.04323
Kataboi Dispensary,Turkana,Hospital,,,,Turkana North,Kalokol,3.90511,35.7514
Katagini Dispensary,Makueni,Hospital,,,,Mbooni East,Katangini Market,-1.74623,37.72376
Katakani Dispensary,Kitui,Hospital,,,,Kyuso,Katakani,-0.62788,38.15888
Katalwa Dispensary,Kitui,Hospital,,,,Mwingi Central,Katalwa,-1.01817,38.1045
Katangi Health Centre,Machakos,Hospital,,,,Yatta,Katangi,-1.41143,37.69853
Katangi Medical Clinic,Machakos,Hospital,,,,Yatta, ,-1.24279,37.41239
Katangi Mission Dispensary,Machakos,Hospital,,,,Yatta,Katangi,-1.41011,37.69931
Katani Dispensary,Machakos,Hospital,,,,Athi River,Athi River,-1.33774,37.00549
Kataret Dispensary,Bomet,Hospital,,,,Chepalungu,Siongiroi Market,-0.92786,35.18117
Kate Dispensary,Marsabit,Hospital,,,,Moyale,Moyale,3.44,38.9703
Katee Dispensary,Elgeyo Marakwet,Hospital,,,,Marakwet West,Iten,0.90395,35.51493
Katethya Medical Clinic,Kitui,Hospital,,,,Mwingi Central,Mwingi,-0.93832,38.06231
Kathaana Dispensary,Machakos,Hospital,,,,Kangundo,Kathaana Market,-1.32985,37.28876
Kathama Dispensary,Machakos,Hospital,,,,Mwala,Mbiuni,-1.20813,37.38473
Kathamboni Dispensary,Makueni,Hospital,,,,Makueni, ,-1.90969,37.77456
Kathande Medical Clinic,Embu,Hospital,,,,Embu East,Kianjokoma,-0.43104,37.47802
Kathangacini Dispensary,Tharaka Nithi,Hospital,,,,Tharaka North,Kathangacini,-0.09756,38.14709
Kathangari CFW Clinic,Embu,Hospital,,,,Manyatta,Kathangari,-0.47199,37.44195
Kathangari Dispensary,Embu,Hospital,,,,Manyatta,Kibugu,-0.41107,37.44877
Kathangariri (ACK) Clinic,Embu,Hospital,,,,Manyatta,Embu,-0.4073,37.44962
Kathangariri Dispensary,Embu,Hospital,,,,Manyatta,Embu,-0.41,37.45
Kathanje Dispensary,Embu,Hospital,,,,Mbeere North,Kathanje,-0.62169,37.72175
Kathanjuri Dispensary,Embu,Hospital,,,,Embu East,Kathanjuri,-0.42592,37.60898
Kathathani Medical Clinic,Tharaka Nithi,Hospital,,,,Meru South,Cheera,-0.38057,37.69571
Katheka Dispensary,Machakos,Hospital,,,,Matungulu,Katheka,-1.17866,37.3354
Kathelwa Dispensary,Meru,Hospital,,,,Igembe Central,Laare Market,0.31292,37.90476
Kathelwa Medical Clinic,Meru,Hospital,,,,Igembe Central,Kathelwa Mkt,0.31292,37.90478
Kathemboni Dispensary,Kitui,Hospital,,,,Lower Yatta,Kathemboni market,-1.35114,37.47338
Kathera Dispensary,Meru,Hospital,,,,Imenti South,Kanyakine Mkt,-0.05458,37.59157
Katheri Health Centre,Meru,Hospital,,,,Meru Central,Katheri,0.01093,37.6047
Kathiani Clinic,Machakos,Hospital,,,,Kathiani,Kathiani Market,-1.36844,37.45632
Kathiani District Hospital,Machakos,Hospital,,,,Kathiani,Kathiani,-1.41336,37.32846
Kathiani Medical Clinic,Machakos,Hospital,,,,Kathiani,Kathiani Market,-1.36221,36.55662
Kathigu Health Centre,Meru,Hospital,,,,Imenti South,Igoji Mkt,-0.15809,37.68631
Kathini Dispensary,Kitui,Hospital,,,,Lower Yatta,kangala market,-1.53073,38.03319
Kathiranga Dispensary,Meru,Hospital,,,,Meru Central,Kathiranga Market,0.01364,37.57692
Kathithi Dispensary,Meru,Hospital,,,,Imenti North,Meru,0.06099,37.70182
Kathithine Dispensary,Meru,Hospital,,,,Imenti South,Kanyakine Market,-0.14181,37.70996
Kathome Dispensary,Kitui,Hospital,,,,Lower Yatta,Kathome Market,-1.32767,37.52306
Kathome Dispensary (Kangundo),Machakos,Hospital,,,,Kangundo,Kakuyuni Market,-1.38918,37.36245
Kathome Medical Clinic,Machakos,Hospital,,,,Machakos,Machakos,-1.53509,37.17408
Kathonzweni Catholic Dispensary,Makueni,Hospital,,,,Kathonzweni,Kathonzweni,-1.91371,37.73276
Kathonzweni Health Centre,Makueni,Hospital,,,,Kathonzweni,Kathonzweni,-1.91533,37.72972
Kathukini Dispensary,Machakos,Hospital,,,,Masinga,Kathukini,-0.99081,37.41151
Kathulumbi Dispensary,Makueni,Hospital,,,,Mbooni East,Kathiani,-1.73296,37.78868
Kathuma Dispensary,Makueni,Hospital,,,,Makueni,Nziu MKT,-1.84455,37.56073
Kathungi Dispensary,Kitui,Hospital,,,,Katulani,Kathungi Shopping Centre,-1.54246,37.92672
Kathunguri Dispensary,Embu,Hospital,,,,Embu East,Karurumo,-0.43541,37.63993
Kathyaka Dispensary,Makueni,Hospital,,,,Kibwezi,Kathyaka,-2.26501,37.99044
Katibel Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.61849,35.66958
Katilia Dispensary,Turkana,Hospital,,,,Turkana East,Elelea,2.132,36.11586
Katilini Dispensary,Makueni,Hospital,,,,Mbooni West,Katilini,-1.66687,37.42724
Katilini Health Centre,Kitui,Hospital,,,,Mutomo,Kamutei,-2.05287,37.98517
Katilu District Hospital,Turkana,Hospital,,,,Turkana South,Katilu,2.37529,35.5503
Katingani Dispensary,Kitui,Hospital,,,,Mwingi Central,Kisama,-0.88083,38.14964
Katipanga Dispensary,Murang'a,Hospital,,,,Muranga South,Kenol,-0.94435,37.14424
Katithini Dispensary,Kitui,Hospital,,,,Mwingi East, ,-1.03282,38.24216
Katito Health Centre,Kisumu,Hospital,,,,Nyakach,Katito Market,-0.26973,34.97284
Katolo-Manyatta Dispensary,Kisumu,Hospital,,,,Nyando,Ahero,-0.22764,34.96644
Katote Dispensary,Wajir,Hospital,,,,Tarbaj,Tarbaj,1.90153,40.00996
Katothya Dispensary,Machakos,Hospital,,,,Masinga,Katothya,-0.91783,37.59964
Katse Health Centre,Kitui,Hospital,,,,Mumoni,Katse,-0.50905,38.0806
Katse Medical Clinic,Kitui,Hospital,,,,Kyuso,Kamuwongo,-0.70963,38.07753
Katuiyo Dispensary,Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.33558,35.44003
Katulani Health Centre,Machakos,Hospital,,,,Mwala,Wamunyu,-1.51453,37.64794
Katulani Medical Clinic(kitui),Kitui,Hospital,,,,Katulani,Katulani Market,-1.49497,37.94775
Katulani Sub District Hospital (Kitui),Kitui,Hospital,,,,Katulani,Katulani,-1.49523,37.94375
Katulu Dispensary,Kitui,Hospital,,,,Mutomo, ,-2.09187,38.06475
Katulye Dispensary,Machakos,Hospital,,,,Masinga, ,-0.93099,37.55921
Katulye Dispensary (Kibwezi),Makueni,Hospital,,,,Kibwezi,Mtito Andei Town,-2.47366,38.15684
Katulye Dispensary-Nzaui,Makueni,Hospital,,,,Nzaui,Kalamba,-1.85238,37.49655
Katumani Dispensary,Machakos,Hospital,,,,Machakos,Machakos,-1.58284,37.24387
KATUMBI  DISPENSARY,Kitui,Hospital,,,,Mutitu,Katumbi  Market,-1.35084,38.61128
Katumbu Dispensary,Kitui,Hospital,,,,Nzambani,Katumbu shopping centre,-1.50584,38.138697
Katune Dispensary,Makueni,Hospital,,,,Nzaui,Kwakotoe,-2.04235,37.4763
Katungura dispensary,Baringo,Hospital,,,,East Pokot, ,0.96031,36.24716
Katutu Dispensary,Kitui,Hospital,,,,Kitui West,Katutu,-1.18347,37.82124
Katwala Dispensary,Kitui,Hospital,,,,Kisasi,Mbitini,-1.55684,38.06257
Katwanyaa Medical Clinic,Machakos,Hospital,,,,Kangundo,Katwanyaa,-1.36349,37.39485
Katyethoka Health Centre,Kitui,Hospital,,,,Mutomo,Mathima,-1.49759,38.19709
Kau Dispensary,Tana River,Hospital,,,,Tana Delta,Kipini,-2.48735,40.43775
Kauma Dispensary (Kitui),Kitui,Hospital,,,,Matinyani,Musosya,-1.26102,38.01368
Kauma Health Centre (Rachuonyo),Homa Bay,Hospital,,,,Rachuonyo South,Near Ramba Market,-0.40412,34.8234
Kaumu Dispensary,Kitui,Hospital,,,,Kitui Central,Zombe,-1.45996,38.20352
Kaunes Medical Centers,Tharaka Nithi,Hospital,,,,Meru South,Chuka,0.3358,37.64519
Kaune's Medical Clinic,Embu,Hospital,,,,Embu East,Runyenjes,-0.42158,37.5706
Kaunguni Dispensary,Makueni,Hospital,,,,Makindu,Mbui Nzau,-2.40076,37.86735
Kauriong Dispensary,West Pokot,Hospital,,,,North Pokot,Makutano,2.09544,35.09494
Kauthulini Dispensary,Machakos,Hospital,,,,Yatta,Kauthulini,-1.17054,37.4771
Kauwi Sub-District Hospital,Kitui,Hospital,,,,Kitui West,Kabati,-1.2462,37.91488
Kavaani Dispensary,Kitui,Hospital,,,,Kyuso,Kavaani Market,-0.62986,38.46648
Kavata Nzou Dispensary,Makueni,Hospital,,,,Kilungu,Nunguni,-1.79139,37.43367
Kavatanzou Dispensary,Makueni,Hospital,,,,Makueni,Kavatanzou,-1.79142,37.43373
Kavete Dispensary (Makindu),Makueni,Hospital,,,,Makindu,Kavete,-2.15726,37.77472
Kaviani Health Centre,Machakos,Hospital,,,,Kathiani,Kaviani,-1.47227,37.30887
Kavindu Health Centre,Kitui,Hospital,,,,Mwingi East,Kavindu,-0.99371,38.39674
Kavisuni Dispensary,Kitui,Hospital,,,,Katulani,Kavisuni,-1.67764,37.92276
Kavisuni Dispensary(Mwingi),Kitui,Hospital,,,,Mwingi East,Kavisu,-0.85576,38.36255
Kavisuni Health Care Clinic,Kitui,Hospital,,,,Katulani,Kavisuni,-1.67728,37.92279
Kavuko Dispensary,Makueni,Hospital,,,,Mukaa,Kavuko market,-1.8879,37.28444
Kavumbu Dispensary,Makueni,Hospital,,,,Mbooni East,Kavumbu Market,-1.58347,37.74638
Kavumbu Dispensary (Mwala),Machakos,Hospital,,,,Mwala,Masii,-1.51623,37.4292
Kavuta Dispensary,Kitui,Hospital,,,,Katulani,Kitui,-1.48693,37.89803
Kavuthu H/Centre,Makueni,Hospital,,,,Nzaui,Sultan Hamud,-1.99738,37.41496
Kavuvwani Dispensary,Kitui,Hospital,,,,Mwingi Central,Kavuvwani,-0.98405,38.04082
Kawala Dispensary,Kitui,Hospital,,,,Mwingi Central,Kawala,-0.76371,38.24294
Kawala Dispensary-Makueni,Makueni,Hospital,,,,Makueni,Kawala,-1.95524,37.58059
Kawangware Health Centre,Nairobi,Hospital,,,,Dagoretti North, ,-1.28774,36.75099
Kawap Dispensary,Samburu,Hospital,,,,Samburu North,Baragoi,1.74756,37.0747
Kawauni Dispensary,Machakos,Hospital,,,,Kangundo,Katwii Market,-1.31442,37.39991
Kaweru Medical Clinic,Murang'a,Hospital,,,,Kiharu,Muranga,-0.631256,37.0472
Kawiria Maternity Home,Meru,Hospital,,,,Igembe South,Maua,0.23563,37.93745
Kawiru Dispensary,Meru,Hospital,,,,Igembe Central,Kawiru Market,0.29189,38.00372
Kawongo Medical Centre,Kitui,Hospital,,,,Kitui Central,Kawongo,-1.59769,37.87552
Kaw'ongo Medical Centre,Kitui,Hospital,,,,Lower Yatta,Kaw'ongo market,-1.35865,37.52525
Kayanet Clinic,Uasin Gishu,Hospital,,,,Wareng,Eldoret,0.29372,35.32757
Kayatta Dispensary,Machakos,Hospital,,,,Matungulu,Kayata,-1.15447,37.33769
Kayaya Dispensary,Bungoma,Hospital,,,,Bungoma East,Webuye,0.63961,34.73002
Kayole Hospital,Nairobi,Hospital,,,,Embakasi Central,Nairobi,-1.27015,36.91825
Kayole I Health Centre,Nairobi,Hospital,,,,Embakasi Central,Kayole,-1.26407,36.9187
Kayole II Sub-District Hospital,Nairobi,Hospital,,,,Embakasi Central,Nairobi,-1.26649,36.91668
Kea Dispensary,Kitui,Hospital,,,,Mwingi West,Kea,-1.13749,38.03584
Kebaroti Dispensary,Migori,Hospital,,,,Kuria East,Kegonga,-1.31874,34.62582
Keben Dispensary,Nandi,Hospital,,,,Nandi East,Nandi Hills,0.12285,35.30074
Kebeneti (SDA) Health Centre,Kericho,Hospital,,,,Belgut,Sigowet,-0.44635,35.07874
Kebeneti Dispensary,Kericho,Hospital,,,,Belgut,Sigowet,-0.44327,35.07334
Kebirigo Mission Health Centre,Nyamira,Hospital,,,,Borabu,Kebirigo,-0.59578,34.96636
Kedowa Dispensary,Kericho,Hospital,,,,Londiani,Kedowa,-0.2121,35.56792
Kee Dispensary,Makueni,Hospital,,,,Makueni,Kee Market,-1.7212,37.34096
Keega Medical Clinic,Meru,Hospital,,,,Imenti South,Kanyakine Mkt,-0.12636,37.67414
Keera Dispensary,Kisii,Hospital,,,,Kisii Central,Iranda,-0.60892,34.80754
Kefra Clinic,Meru,Hospital,,,,Imenti North,Gitimbine Market,0.04069,37.65076
Kefri Clinic,Kiambu,Hospital,,,,Kikuyu,Nderi,-1.21571,36.64587
Kegati Medical Clinic,Kisii,Hospital,,,,Kisii Central,Kegati,-0.71076,34.82144
Kegogi Health Centre,Kisii,Hospital,,,,Marani,Kegogi,-0.54476,34.84187
Kegondi Health Centre,Vihiga,Hospital,,,,Sabatia,Chavakali,0.13037,34.73081
Kegonga District Hospital,Migori,Hospital,,,,Kuria East,Kegonga,-1.25857,34.65273
Kehancha Clinic,Migori,Hospital,,,,Kuria West,Kehancha,-1.19453,34.61963
Kehancha Nursing and Maternity Home,Migori,Hospital,,,,Kuria West,Kehancha,-1.18202,34.62389
Keiyo Dispensary,Trans Nzoia,Hospital,,,,Kwanza,Kitale,1.1378,35.00891
Kelunet Dispensary,Kericho,Hospital,,,,Bureti,Litein Town,-0.299435,35.07425
Kema Medical Clinic,Bungoma,Hospital,,,,Bungoma South,Mashambani,0.57028,34.56314
Kemakoba Dispensary,Migori,Hospital,,,,Kuria East,Nyabikongori,-1.31256,34.6121
Kembu Dispensary,Bomet,Hospital,,,,Bomet East,Kembu Market,-0.8645,35.46411
Kemeloi Health Centre,Nandi,Hospital,,,,Nandi South,Kobujoi market,0.04335,34.91531
Kemera Dispensary (Manga),Nyamira,Hospital,,,,Manga,Kemera,-0.66495,34.8334
Kemri Clinic,Kisumu,Hospital,,,,Kisumu West,Kisian Market,-0.0765,34.67583
Kemri Staff Clinic and VCT Centre,Kilifi,Hospital,,,,Kilifi North,Kiifi,-3.62957,39.85725
Kemri VCT,Nairobi,Hospital,,,,Kibra,Nairobi,-1.31092,36.80363
KEMRI/CDC Health Services,Nairobi,Hospital,,,,Mathare,Moi Airbase-Juja Road,-1.261,36.8489
Kemsa Staff Clinic,Nairobi,Hospital,,,,Starehe,City Stadium,-1.29625,36.83188
Kemu Medical Clinic,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.39567,36.72918
Kemunchugu (Nyamira North),Nyamira,Hospital,,,,Nyamira North, ,0.46382,34.99952
Ken Ame Health Centre,Uasin Gishu,Hospital,,,,Wareng,Hill School,0.49331,35.27706
