name,county,sub_county,nearest-landmark,lat,lon,type
Midoina Dispensary,Kilifi,Ganze,Bamba,-3.56209,39.32264,Hospital
Midoti Dispensary,Migori,Migori,Midoti,-1.06012,34.49284,Hospital
Mid-Point Health Services,Nairobi,Roysambu,near marurui heath centre,-1.20832,36.87437,Hospital
Mid-Town Reoproductive Health and Youth Friendly,Nakuru,Nakuru,Midways Plaza !st floor room 11,-0.17068,36.0436,Hospital
Midway Clinic,Murang'a,Mathioya,Kiriaini,-0.599524,36.9748,Hospital
Miendo Dispensary,Bungoma,Bungoma East,Webuye,0.65883,34.6902,Hospital
Migori District Hospital,Migori,Migori,Migori Town,-1.06042,34.47627,Hospital
Migori Health Station Clinic,Migori,Migori,Migori Town Posta,-1.06339,34.47318,Hospital
Migori T T C Dispensary,Migori,Migori,Migori Town,-1.06719,34.4524,Hospital
Migosi Health Centre,Kisumu,Kisumu East,Kisumu,-0.07607,34.78327,Hospital
Miguta Dispensary,Kiambu,Githunguri,Githunguri,-1.07076,36.83032,Hospital
Migwani Sub-District Hospital,Kitui,Mwingi West,Migwani,-1.09545,38.01926,Hospital
Mihang'o Dispensary,Murang'a,Muranga South,Mihang'O,-0.86185,37.21496,Hospital
Miharate Medical Clinic,Nyandarua,Kipipiri,Miharate Towm,-0.39978,36.492,Hospital
Mihuti Dispensary (Muranga North),Murang'a,Mathioya,Kiriaini,-0.66,36.96,Hospital
Mihuti Dispensary (Nyeri South),Nyeri,Mukurweini,Mihuti,-0.56478,37.07869,Hospital
Mihuti Medical Clinic,Nyeri,Mukurweini,Mihuti,-0.562831,37.082,Hospital
Mihuu Dispensary,Bungoma,Bungoma East,Webuye,0.61299,34.76456,Hospital
Miiri Community Dispensary,Kiambu,Gatundu North,Kamwangi,0.91169,36.78948,Hospital
Mijay Clinic,Vihiga,Sabatia,Mbale,0.092417,34.7286,Hospital
Mijomboni Dispensary,Kilifi,Kilifi North,Mijomboni market,-3.26951,40.00334,Hospital
Mikanjuni Family Medical Clinic,Mombasa,Changamwe,Mombasa,-4.00448,39.59928,Hospital
Mikanjuni Medical Clinic,Mombasa,Changamwe,Mombasa,-3.99804,39.60097,Hospital
Mikaro Dispensary,Nyandarua,Kinangop,Mikaru,-0.48346,36.54394,Hospital
Mikeu PCEA Medical Centre,Nakuru,Molo,Ndimu,-0.27335,35.79647,Hospital
Mikindani (MCM) Dispensary,Mombasa,Changamwe,Mombasa,-4.00509,39.62816,Hospital
Mikindani Catholic Dispensary,Mombasa,Changamwe, ,-4.00193,39.62971,Hospital
Mikindani Medical Clinic,Mombasa,Changamwe,Mombasa,-4.00356,39.62987,Hospital
Mikinduri Health Centre,Meru,Tigania East,Kianjai,0.12999,37.85091,Hospital
Mikinduri Sub-District Hospial,Meru,Tigania East,Kianjai,0.12386,37.83748,Hospital
Mikongoni Dispensary,Kitui,Ikutha,Kanziku,-2.04925,38.29738,Hospital
Mikumbune Sub-District Hospital,Meru,Imenti South,Nkubu Town,-0.07809,37.61783,Hospital
Mikuyuni Dispensary,Kitui,Kitui Central,Mikuyuni Market,-1.1706,38.15,Hospital
Mikuyuni Dispensary (Kibwezi West),Makueni,Makindu,Mikuyuni Market,-2.38783,37.95716,Hospital
Mikuyuni Dispensary-Masinga,Machakos,Masinga,Mikuyuni,-1.50996,37.41655,Hospital
Milaani Dispensary,Machakos,Masinga,Milaani,-0.89651,37.38292,Hospital
Milcelt Medical Clinic,Kiambu,Ruiru,Githurai 45,-1.20635,36.9576,Hospital
Mile 46 Health Centre,Kajiado,Kajiado Central,Kajiado,-1.89661,36.5882,Hospital
Milele Integrated Medical Services,Nairobi,Roysambu,Off Kamiti Rd and the behind Eden supermarket,-1.2008,36.90052,Hospital
Milenye Dispensary,Kisumu,Muhoroni,Awasi,-0.12134,35.06235,Hospital
Miliki Afya,Kajiado,Kajiado North,Ngong,-1.35985,36.65596,Hospital
Miliki Afya Limited,Nairobi,Dagoretti South,Youth Enpowerment Centre Building,-1.28765,36.74149,Hospital
Milima Tatu Dispensary,Turkana,Turkana North,Lokitaung,4.28663,35.4202,Hospital
Milimani Eye Clinic,Meru,Igembe South,Maua town,0.23549,37.94105,Hospital
Milimani Hospital,Kisumu,Kisumu East,Kisumu,-0.1217,34.75328,Hospital
Milimani Nursing Home,Meru,Imenti North,Meru,0.04877,37.64115,Hospital
Millenium Clinic,Mandera,Mandera East,township,3.93845,41.8646,Hospital
Millenium Dental Clinic,Nairobi,Makadara,Buruburu Shopping centre,-1.2978,36.8815,Hospital
Milo Health Centre,Bungoma,Bungoma East,Webuye,0.61314,34.76489,Hospital
Miluki Dispensary,Bungoma,Bumula,Miluki Market,0.637559,34.491559,Hospital
Miniambo Dispensary,Homa Bay,Homa Bay,Rodi Kopany,-0.53761,34.48563,Hospital
Ministry of Education (Moest) VCT Centre,Nairobi,Starehe,Nairobi,-1.2852,36.821,Hospital
Minjore Dispensary,Laikipia,Laikipia West,Olmoran Centre,0.43966,36.4569,Hospital
Minoptic Eye Clinic,Meru,Imenti North,Meru,0.0476,37.65449,Hospital
Minugu Dispensary,Tharaka Nithi,Maara,Chuka,-0.30537,37.62907,Hospital
Minyenya Dispensary,Migori,Rongo,Rongo,-0.69214,34.6198,Hospital
Miorre Dispensary,Homa Bay,Mbita,Mbita,-0.50545,34.2372,Hospital
Miraj Medical Centre,Wajir,Habaswein,Habaswein Trading Centre,1.01779,39.49566,Hospital
Miranga Dispensary,Kisumu,Muhoroni,Masogo Market,0.09876,35.04103,Hospital
Miranga Medical Clinic,Mombasa,Changamwe,Mombasa,-4.01484,39.61755,Hospital
Miranga Sub District Hospital,Kisumu,Seme,Paw Akuche Market,-0.07642,34.57942,Hospital
Mirangine Health Centre,Nyandarua,Mirangine,Olkalau,-0.177,36.24414,Hospital
Mirapera Dispensary,Kilifi,Ganze,Bamba,-3.6256,39.3965,Hospital
Mirere Health Centre,Kakamega,Matungu, ,0.45476,34.42738,Hospital
Mirigamieru Health Facility,Meru,Imenti North,Meru,0.04647,37.66081,Hospital
Mirigamieru Health Services,Meru,Imenti North,Meru Town,0.04645,37.66083,Hospital
Mirihini Dispensary,Kilifi,Ganze,Bamba,-3.43813,39.59241,Hospital
Miriri Dispensary,Nyamira,North Masaba,Miriri,-0.670638,34.8816,Hospital
Miritini (MCM) Dispensary,Mombasa,Changamwe,Mombasa,-4.0111,39.63027,Hospital
Miritini CDF Dispensary,Mombasa,Changamwe,Mombasa,-4.00184,39.58399,Hospital
Miriu Health Centre,Homa Bay,Rachuonyo North,Rakwaro Market,-0.35494,34.75608,Hospital
Mirogi Health Centre,Homa Bay,Ndhiwa,Mirogi,-0.69962,34.38402,Hospital
Mirugi Kariuki Dispensary,Nakuru,Nakuru,Nakuru Town,-0.37397,36.15026,Hospital
Misesi Dispensary (Gucha),Kisii,Gucha,Ogembo,-0.74101,34.68447,Hospital
Mishoroni Dispensary,Mombasa,Kisauni,Mombasa,-4.01894,39.68344,Hospital
Misikhu Main Medical Clinic,Bungoma,Bungoma East,Misikhu,0.7182,34.75677,Hospital
Misikhu Medicalcclinic,Bungoma,Bungoma East,Misikhu,0.71818,34.75676,Hospital
Miskwony Dispensary,West Pokot,West Pokot,Kapenguria,1.5807,35.14958,Hospital
Misori Dispensary,Siaya,Rarieda,Misori Beach,-0.31856,34.278,Hospital
Mission K Clinic,Lamu,Lamu West,Mpeketoni,-2.23418,40.41932,Hospital
Mission Medical Clinic (Bahari),Kilifi,Kilifi North,Kilifi,-3.63115,39.85135,Hospital
Mission of Hope International Medical Centre,Machakos,Machakos,Sunshine shopping cenre,-1.33017,37.1166,Hospital
Mission of Mercy Clinic,Bungoma,Bungoma South,Bungoma,0.576916,34.55349,Hospital
Misyani Catholic Health Centre,Machakos,Kangundo,Misyani,-1.28836,37.37264,Hospital
Mitaboni Health Centre,Machakos,Kathiani,Mitaboni,-1.37272,37.24834,Hospital
Mitaboni Mission Dispensary,Machakos,Kathiani,Mitaboni,-1.37856,37.24962,Hospital
Mitamisyi Dispensary,Kitui,Kyuso,Mitamisyi,-0.52847,38.40215,Hospital
Mithikwani Dispensary,Kitui,Kitui Central,Mithikwani market,-1.26239,37.79903,Hospital
Mithumoni Dispensary,Makueni,Makindu,Mithumoni Market,-2.00401,37.57081,Hospital
Miti-Mingi Dispensary,Nakuru,Gilgil,Mitimingi shopping centre,-0.52844,36.07573,Hospital
Mitini Miracle Revival Church Clinic,Makueni,Kilungu,Mitini AIC,-1.82906,37.40773,Hospital
Mitubiri Dispensary,Kiambu,Thika East,Thika,-1.02731,37.15415,Hospital
Mituki Medical Clinic,Machakos,Yatta,Matuu,-1.08472,37.32846,Hospital
Mitume Dispensary,Trans Nzoia,Trans Nzoia West,Kitale,1.02954,34.98474,Hospital
Mitume Dispensary Kitale,Trans Nzoia,Trans Nzoia West,Kitale,1.02955,34.98472,Hospital
Mitunguu Catholic Dispensary,Meru,Imenti South,Mitunguu Market,-0.10637,37.78561,Hospital
Mitunguu Ccs Dispensary,Meru,Imenti South,Mitunguu Mkt,-0.11384,37.78796,Hospital
Mitunguu Dispensary,Meru,Imenti South,Mitunguu Mkt,-0.10572,37.78144,Hospital
Mitunguu Medical Services,Meru,Imenti South,Mitunguu Mkt,-0.11138,37.78402,Hospital
Mituntu Cottage Hospital,Meru,Tigania West,Nchiru,0.1284,37.71759,Hospital
Mituntu Health Centre,Meru,Tigania West,Kianjai,0.17353,37.67673,Hospital
Mituvu Dispensary,Makueni,Mbooni East,Mituvu Market,-1.72411,37.62078,Hospital
Miu Dispensary,Machakos,Kangundo,Miu Market,-1.33808,37.40988,Hospital
Miu Sub-Health Centre,Machakos,Mwala,Wamunyu,-1.52102,37.57704,Hospital
Miumbuni Dispensary,Machakos,Kathiani,Mitaboni,-1.2639,37.28913,Hospital
Mivukoni Health Centre,Kitui,Kyuso,Mivukoni,-0.40875,38.24192,Hospital
Mivumoni (Catholic) Dispensary,Kwale,Msambweni,Msambweni,-4.42514,39.39711,Hospital
Miwani Dispensary,Kisumu,Muhoroni,Miwani,-0.05023,34.97964,Hospital
Mizijini Dispensary,Kilifi,Magarini,Malindi,-2.96167,40.00046,Hospital
Mjanaheri Dispensary,Kilifi,Magarini,Gongoni,-3.07931,40.14094,Hospital
Mjeni Medical Clinic,Mombasa,Kisauni,Near Precious Twins primary school - Mombasa,-4.0361,39.69119,Hospital
Mji Wa Huruma Dispensary,Nairobi,Westlands,Nairobi,-1.22685,36.82727,Hospital
Mkang'ombe Dispensary,Kwale,Kinango,Kinango,-4.19721,39.14307,Hospital
Mkanyeni Dispensary,Kwale,Kinango, ,-3.2546,39.2154,Hospital
Mkokoni Dispensary,Lamu,Lamu East,Mkokoni,-1.97127,41.29503,Hospital
Mkongani Dispensary,Kwale,Matuga,Kwale,-4.290838,39.267507,Hospital
Mkundi Dispensary,Kwale,Matuga,Shimba Hills,-4.366375,39.248137,Hospital
Mkunga Clinic,Nairobi,Embakasi North,Dandora phase II Market,-1.22089,36.89408,Hospital
Mkunumbi Dispensary,Lamu,Lamu West,Mkunumbi,-2.29477,40.6761,Hospital
Mkwiro Dispensary,Kwale,Msambweni,Msambweni,-4.66227,39.3968,Hospital
Mlaleo Health Centre,Mombasa,Kisauni,Mombasa,-4.02771,39.68397,Hospital
Mlaleo Health Centre (MOH),Mombasa,Kisauni,Kongowea market,-4.02796,39.68619,Hospital
Mlanjo Dispensary,Tana River,Bura,Mlanjo,-0.31863,39.51712,Hospital
Mlimani Dispensary,Kakamega,Likuyani,Moisbridge town,0.86396,35.01574,Hospital
Mlolongo Health Centre,Machakos,Athi River, ,-1.38842,36.94895,Hospital
Mlolongo VCT,Machakos,Athi River,Mlolongo,-1.38893,36.93695,Hospital
Mlolongo Wellness Centre,Machakos,Athi River,Mlolongo,-1.39668,36.94169,Hospital
Mmak's Homecare Pharmacy,Meru,Imenti North, ,0.04517,37.65933,Hospital
Mmangani Dispensary,Kilifi,Malindi,Kakuyuni,-3.11,39.58471,Hospital
Mnara Dispensary,Kisumu,Muhoroni,Muhoroni,-0.16969,35.23274,Hospital
Mnarani Dispensary,Kilifi,Kilifi North,Kilifi,-3.644,39.8393,Hospital
Mnazini Dispensary,Tana River,Tana Delta,Garsen,-2.41199,40.20191,Hospital
Mnyenzeni Dispensary,Kwale,Kinango,Mazeras,-3.98765,39.4868,Hospital
Moa Dispensary,Lamu,Lamu West,Moa,-2.36282,40.31789,Hospital
Mobet Dispensary,Uasin Gishu,Eldoret West,Eldoret,0.80972,35.14953,Hospital
Mochenwa Dispensary,Nyamira,North Masaba,Mochenwa,-0.721077,34.9737,Hospital
Mochongoi Health Centre,Baringo,Marigat,Kabarnet,0.31273,36.18598,Hospital
Modaan Clinic,Nakuru,Molo,Molo,-0.24969,35.7343,Hospital
Modambogho Dispensary,Taita Taveta,Mwatate,Landi Market,-3.48746,37.71496,Hospital
Modern Mc,Trans Nzoia,Trans Nzoia West,Within Kitale town,1.02143,34.99978,Hospital
Modern Medical Clinic,Nyandarua,Kipipiri,Murungaru town,-0.58878,36.49996,Hospital
Modesty Outpatient Centre,Kirinyaga,Kirinyaga South,Wangu'ru Town,-0.6838,37.35418,Hospital
Moding Health Centre,Busia,Teso North,Angurai,0.75381,34.34789,Hospital
Modogashe Dispensary,Isiolo,Garbatula,Modagashe,0.72978,39.17195,Hospital
Modogashe Sub-County Hospital,Garissa,Lagdera,Modogashe,0.73257,39.18564,Hospital
Mogil Health Centre,Elgeyo Marakwet,Marakwet East,Kapsowar,1.06114,35.6415,Hospital
Mogoget Dispensary,Nandi,Chesumei,Eldoret,0.31719,35.21772,Hospital
Mogogosiek Health Centre,Bomet,Konoin,Mogogosiek,-0.61797,35.27375,Hospital
Mogoiywet Dispensary,Narok,Trans Mara East,Olchobosei Market,-0.93159,35.0628,Hospital
Mogonga Maternity and Nursing Home (Kenyenya),Kisii,Kenyenya,Ogembo,-0.86332,34.76254,Hospital
Mogonjet Dispensary,Bomet,Konoin,Mogogosiek,-0.64967,35.25765,Hospital
Mogoon Dispensary,Uasin Gishu,Eldoret West,Eldoret,0.8722,35.17785,Hospital
Mogor Dispensary,Narok,Trans Mara East,Emurua Dikir,-1.00477,34.87962,Hospital
Mogori-Komasimo Health Centre,Migori,Kuria West,Nymagagana Mkt,-1.14276,34.5752,Hospital
Mogorwa Health Centre,Baringo,Baringo Central,Kabarnet,0.30883,35.71667,Hospital
Mogotio Catholic Dispensary,Baringo,Mogotio,Mogotio,-0.02096,35.95896,Hospital
Mogotio Medical Clinic,Baringo,Mogotio,Mogotio Town,0.02326,35.96312,Hospital
Mogotio Plantation Dispensary,Nakuru,Rongai,Rongai,-0.05233,35.96368,Hospital
Mogotio Rhdc,Nakuru,Rongai,Rongai,-0.02438,35.96701,Hospital
Mogotio Town Dispensary,Baringo,Mogotio,Mogotio Town,0.02736,35.95392,Hospital
Mogusii Clinic,Nyamira,Borabu,Mogusii,-0.69441,35.0667,Hospital
Mogwa Dispensary,Kericho,Belgut,Sondu,-0.39135,35.01499,Hospital
MOH Outreach (Trans Nzoia),Trans Nzoia,Trans Nzoia West,Kitale,1.01649,35.00848,Hospital
Mohamed Dahir Dispensary,Garissa,Ijara,Masalani,-1.69075,41.16999,Hospital
Moi Air Base Hospital,Nairobi,Kamukunji,Nairobi,-1.28988,36.85073,Hospital
Moi Airport Dispensary,Mombasa,Changamwe,Mombasa,-4.03177,39.60411,Hospital
Moi District Hospital Voi,Taita Taveta,Voi,Voi,-3.38928,38.56007,Hospital
Moi Ndabi Dispensary,Nakuru,Naivasha,Kongoni centre,-0.80483,36.2461,Hospital
Moi Teachers College - Baringo,Baringo,Baringo Central,Kabarnet,0.54598,35.78661,Hospital
Moi Teaching Refferal Hospital,Uasin Gishu,Eldoret East,Eldoret,0.51464,35.27916,Hospital
Moi University Health Centre,Uasin Gishu,Wareng,Eldoret,0.28372,35.28756,Hospital
Moi University Medical Clinic,Trans Nzoia,Trans Nzoia East, ,1.01642,35.02067,Hospital
Moiben Health Centre,Uasin Gishu,Eldoret East,Moiben,0.81893,35.38611,Hospital
Moigutwo Dispensary,Baringo,Baringo North,Kabartonjo,0.77335,35.81881,Hospital
Moi's Bridge Catholic,Uasin Gishu,Eldoret West,MoisBridge,0.87628,35.12437,Hospital
Moi's Bridge Health Centre,Uasin Gishu,Eldoret West,Eldoret,0.87599,35.1221,Hospital
Moi's Bridge Nursing Home,Kakamega,Mumias,Mois Bridge,0.14555,34.6775,Hospital
Moka Clinic,Kajiado,Kajiado North,Kiserian,-1.42964,36.68723,Hospital
Mokason Clinic,Kisii,Kisii Central,Daraja Mbili,-0.65878,34.7605,Hospital
Mokomoni Health Centre,Nyamira,Borabu,Mokomoni,-0.61615,35.02502,Hospital
Mokong Tea Dispensary,Nandi,Nandi East,Nandi Hills,0.1337,35.19498,Hospital
Mokowe Health Centre,Lamu,Lamu West,Mokowe,-2.22691,40.83062,Hospital
Mokoyon Dispensary,West Pokot,Pokot South,Chepareria,1.27656,35.35,Hospital
Molo District Hospital,Nakuru,Molo,Molo,-0.24724,35.73717,Hospital
Molo Medical Centre,Nakuru,Molo,Molo,-0.24423,35.72911,Hospital
Molo South Dispensary,Nakuru,Kuresoi,Keringet,-0.34499,35.66171,Hospital
Molok Dispensary,Baringo,Mogotio,Mogotio,0.30135,35.97569,Hospital
Molos Dispensary,Baringo,Mogotio,Mogotio,0.28087,35.99825,Hospital
Molosirwe Dispensary,Baringo,Mogotio,Mogotio,0.13423,35.95584,Hospital
Mombasa Catholic Health Care Services,Mombasa,Changamwe,Mombasa/ Chaani Market,-4.01092,39.37236,Hospital
Mombasa County Beyond Zero Mobile Clinic,Mombasa,Mvita,Old Town,-4.04295,39.66795,Hospital
Mombasa Hospital,Mombasa,Mvita,Mombasa,-4.06495,39.68049,Hospital
Mombasa Medicare Clinic,Mombasa,Kisauni,Mtopanag,-4.0314,39.68363,Hospital
Mombasa Polytechnic Clinic,Mombasa,Mvita, ,-4.036,39.66864,Hospital
Mombasa Road Medical centre,Machakos,Athi River,Gimu Market,-1.39088,36.9403,Hospital
Mombasa Roadside Wellness Centre,Mombasa,Changamwe,Mombasa,-4.0401,39.6331,Hospital
Mombwo Dispensary,Nandi,Tinderet,Nandi Hills,-0.09895,35.23655,Hospital
Momoniat Health Centre,Kericho,Kipkelion,Momoniat,-0.24272,35.4523,Hospital
Mongorisi Health Centre,Nyamira,Nyamira,Kenyenya,-0.66108,35.00445,Hospital
Monguni Dispensary,Kitui,Ikutha,Athi,-1.99985,37.9474,Hospital
Monianku Health Centre,Kisii,South Gucha,Nyamaiya Mkt,-0.967,34.6828,Hospital
Monica Clinic,Kiambu,Githunguri,Githunguri,-0.681688,37.0441,Hospital
Monirre Dispensary,Bomet,Sotik,Sotik,-0.64718,35.06562,Hospital
Montana Hospital,Mombasa,Kisauni,Kongowea,-4.01619,39.68699,Hospital
Moogi Dispensary,Kisii,Kenyenya,Kisii,-0.87644,34.70189,Hospital
Morijo Dispensary,Samburu,Samburu Central,Morijo Market,1.32702,36.63165,Hospital
Morijo Loita Dispensary,Narok,Narok South,Ololulunga,-1.71902,35.8357,Hospital
Mormorio Dispensary,Baringo,Baringo North,Kabartonjo,0.68725,35.78976,Hospital
Morpus Dispensary,West Pokot,Pokot South,Morpus Trading Centre,1.38733,35.27267,Hospital
Moru Karisa Dispensary,Busia,Teso South,Amukura,0.54768,34.20959,Hospital
Morulem Dispensary,Turkana,Turkana East,Lokori,2.0156,36.3243,Hospital
Mosa Dispensary,Kitui,Kisasi,Mosa,-1.60408,38.05285,Hospital
Moshi Clinic,Migori,Kuria West,Mabera,-1.20823,34.47171,Hospital
Mosi Flower Farm Dispensary,Kiambu,Ruiru,Juja town,-1.11661,37.01472,Hospital
Mosiro Dispensary,Narok,Narok North,Narok,-1.39141,36.11648,Hospital
Mosiro Dispensary (Kajiado North),Kajiado,Kajiado North,Narok,-1.46313,36.1252,Hospital
Moso Cheptarit Medical Clinic,Nandi,Nandi North,Mosoriot,0.31833,35.16973,Hospital
Mosocho Market Disp,Kisii,Kisii Central,Mosocho,-0.35141,34.43903,Hospital
Mosore Dispensary,Kericho,Bureti,Roret,-0.46902,35.13136,Hospital
Mosoriot Clinic,Nandi,Chesumei,Mosoriot,0.31941,35.16858,Hospital
Mosoriot Rural Health Training Centre,Nandi,Chesumei,Eldoret,0.32164,35.1732,Hospital
Mosoriot TTC Dispensary,Nandi,Chesumei,Eldoret,0.3192,35.17826,Hospital
Mosque Dispensary,Kisumu,Kisumu East,Kisumu,-0.08814,34.75798,Hospital
Most Precious Blood Sisters Dispensary,Kiambu,Kikuyu,Kiambaa,-1.19816,36.65859,Hospital
Motagara Health Centre (Nyamira),Nyamira,Nyamira,Mosobeti,-0.559838,34.928308,Hospital
Motemorabu Dispensary,Migori,Kuria West,Motemorabu,-1.18309,34.41133,Hospital
Mother & Child Hospital,Nairobi,Kamukunji,Eastleigh town,-1.28175,36.85072,Hospital
Mother & Child Meridian & Lab Services,Nairobi,Roysambu,Behind auncle sams bar,-1.19919,36.90277,Hospital
Mother Amadea Health Centre,Mombasa,Changamwe,Mombasa,-4.00434,39.62743,Hospital
Mother and Child Clinic Malindi,Kilifi,Malindi,Malindi,-3.13175,40.06575,Hospital
Mother Franciscan Mission Health Centre,Nandi,Chesumei,Kapsabet,0.20208,35.08431,Hospital
Mother Ippolata Mukuru Clinic,Nairobi,Embakasi South,Mukuru,-1.32512,36.98902,Hospital
Mother Kevin Dispensary (Catholic),Nakuru,Nakuru,Nakuru Town,-0.17924,36.03058,Hospital
Mother Land Medical Clinic,Machakos,Yatta,Matuu,-1.0893,37.32764,Hospital
Mother of Mercy (Machakos),Machakos,Machakos,Kola,-1.70617,37.35237,Hospital
Mother Teresa Medical Clinic,Mombasa,Changamwe,Mombasa,-4.01392,39.6208,Hospital
Moticho Health Centre,Kisii,South Gucha,Etago Mkt,-0.88662,34.6315,Hospital
Motiret Dispensary,Bomet,Sotik,Ndanai,-0.81114,35.1367,Hospital
Motontera Dispensary,Nyamira,Nyamira,Miruka,-0.497,34.87824,Hospital
Motonto Dispensary (Sameta),Kisii,Sameta,Itibo,-0.7249,34.72125,Hospital
Motosiet Dispensary,Trans Nzoia,Trans Nzoia East,Kitale,0.99088,35.15484,Hospital
Mount Olive Sinai Hospital,Kajiado,Kajiado North,Ongata Rongai Town,-1.4356,36.78872,Hospital
Mount View Nursing & Maternity Home,Taita Taveta,Voi,Voi,-3.39408,38.56341,Hospital
Mountain Med Clinic,Nyeri,Nyeri Central, ,-0.42758,36.95478,Hospital
Mountain Medical Clinic,Marsabit,Marsabit,Marsabit,2.33193,37.98984,Hospital
Mow Dispensary,Nairobi,Starehe,Commercial,-1.29362,36.82742,Hospital
Mowlana Medical Clinic,Mandera,Mandera East,Mandera,3.94502,41.8354,Hospital
Mowlem Diagnostic Medical Centre,Tharaka Nithi,Tharaka South,Chiakariga,-0.2428,37.87688,Hospital
Moyale Afya Medical Clinic,Marsabit,Moyale,Moyale,3.521,39.0556,Hospital
Moyale Catholic Dispensary,Marsabit,Moyale,Moyale,3.52493,39.06294,Hospital
Moyale District Hospital,Marsabit,Moyale,Moyale,3.52254,39.05001,Hospital
Moyale Nursing Home,Marsabit,Moyale,Moyale,3.52104,39.05985,Hospital
Mp Shah Hospital (Westlands),Nairobi,Westlands,Nairobi,-1.26343,36.811814,Hospital
Mpala Mobile Clinic,Laikipia,Laikipia West,Rumuruti Town,0.26621,36.54003,Hospital
Mpalla Dispensary,Laikipia,Laikipia North,Ewaso,0.32399,36.90438,Hospital
Mpata Club Dispensary,Narok,Trans Mara West - Dikirr,Kimintet,-1.19338,35.0402,Hospital
Mpeketoni Health Services Clinic,Lamu,Lamu West,Mpeketoni,-2.23451,40.41371,Hospital
Mpeketoni Health Sevices (Witu),Lamu,Lamu West,Witu,-2.23298,40.26437,Hospital
Mpeketoni Sub-District Hospital,Lamu,Lamu West,Mpeketoni,-2.39163,40.6976,Hospital
Mpeli Medical Clinic,Bungoma,Bungoma South,"Alon Bungoma mumia road , Chebukube market",0.57023,34.55803,Hospital
Mpinzinyi Health Centre,Taita Taveta,Mwatate,Mwachawaza,-3.45754,38.37885,Hospital
Mpukoni Health Centre,Tharaka Nithi,Meru South,Chuka Town/ Ikuu Market,-0.38228,37.66304,Hospital
Mrima (Catholic) Dispensary,Kwale,Msambweni,Lunga Lunga,-4.49113,39.24639,Hospital
Mrima CDF Health Cenre,Mombasa,Likoni,Mombasa,-4.09835,39.65146,Hospital
Mrughua Dispensary,Taita Taveta,Mwatate,Mrughua,-3.43489,38.29089,Hospital
Msaada Healthcare Community Dispensary,Kwale,Msambweni,Ukunda,-4.36865,39.40521,Hospital
Msambweni District Hospital,Kwale,Msambweni,Msambweni,-4.48007,39.4708,Hospital
Msare Health Centre,Homa Bay,Suba,Sindo,-0.59192,34.18781,Hospital
Msau Dispensary,Taita Taveta,Mwatate,Msau Mkt,-3.41394,38.40845,Hospital
Msekekwa Health Centre,Elgeyo Marakwet,Keiyo,Iten,0.75823,35.51188,Hospital
Msf- Green House Clinic,Nairobi,Kamukunji,3rd avenue melawa,-1.26686,36.85145,Hospital
Msf- Lavender House Clinic,Nairobi,Kamukunji,Along Juja road,-1.26597,36.85232,Hospital
Msf Olympic Centre,Nairobi,Kibra,Olympic Shopping Center,-1.31276,36.77859,Hospital
Mshongoleni Community Dispensary,Kilifi,Malindi,Msabaha,-3.24691,40.02727,Hospital
Msikiti Noor Medical Clinic,Mombasa,Changamwe,Mombasa,-4.02597,39.62859,Hospital
Msomi Complex Medical Clinic,Migori,Migori,Migori Town centre,-1.08335,34.46288,Hospital
Msulwa Dispensary,Kwale,Matuga,Kwale,-4.26404,39.46136,Hospital
Msumarini Dispensary,Kilifi,Kilifi South,Mtwapa,-3.87227,39.79793,Hospital
Mt Elgon Annex Clinics,Trans Nzoia,Trans Nzoia West,Kitale,1.01599,35.01089,Hospital
Mt Elgon Annex Clinics -Dr Manuthu,Trans Nzoia,Trans Nzoia West,Kitale,1.01599,35.01089,Hospital
Mt Elgon Clinic,Bungoma,Cheptais,cheptais,0.80688,34.46479,Hospital
Mt Elgon District Hospital,Bungoma,Mt Elgon,Kapsokwony,0.84214,34.71422,Hospital
Mt Elgon Hospital,Trans Nzoia,Trans Nzoia West,Kitale,1.01603,35.01012,Hospital
Mt Elgon National Park Dispensary,Trans Nzoia,Kwanza,Kitale,1.02393,34.77484,Hospital
Mt Everest Medical Clinic,Vihiga,Sabatia,Mbale,0.09256,34.7013,Hospital
Mt Harmony Clinic,Kilifi,Kilifi South,Kilifi,-3.94607,39.74022,Hospital
Mt Kenya (ACK) Hospital,Kirinyaga,Kirinyaga Central,Kerugoya,-0.49185,37.26474,Hospital
Mt Kenya Herbal Centre,Meru,Imenti North,Meru,3.93029,41.8686,Hospital
Mt Kenya Junior Academy,Nyeri,Nyeri Central,GAME ROCK,-0.41474,36.98385,Hospital
Mt Kenya Kabiruini Medical Clinic,Nyeri,Mathira West,Karatina,-0.23615,37.05067,Hospital
Mt Kenya Narumoru Medical Clinic,Nyeri,Kieni East,Narumoru,-0.11282,37.03427,Hospital
Mt Kenya Senior Academy,Nyeri,Nyeri Central, ,-0.41214,36.9,Hospital
Mt Kenya Sub-District Hospital,Nyeri,Nyeri Central,Nyeri Town,-0.42682,36.93618,Hospital
Mt Longonot Hospital,Nakuru,Naivasha,Naivasha town,-0.72134,36.44102,Hospital
Mt Sinai Nursing Home,Kiambu,Thika West,Thika,-1.05229,37.0983,Hospital
Mt Zion Community Health Clinic,Makueni,Nzaui,Emali  Market,-2.07979,37.47461,Hospital
Mt Zion Mission Medical Clinic,Trans Nzoia,Trans Nzoia East,Kitale,1.00207,35.15404,Hospital
